,data,seed,target,noise,nrmse,rmse,mean_perc_err,mean_perc_err_std,test_type
39,log10flowacc,0,DoK,0,0.05145933201005358,6.732595676246312,0.19633693814080416,0.17289763331287655,shuffle
0,elevation,0,KoD,0,0.6201431467484282,0.24340621171241464,4.157239949733657,4.667569007036114,swap
1,curvature,10,logDoK,0,0.10534717752308476,0.1819344372394495,0.10316744438143458,0.06100165873482827,swap
2,curvature,0,DoK,0,0.11225161985827069,14.686253027182484,0.18054229928985224,0.1717456904188207,swap
3,elevation,10,DoK,0,0.32775801323410136,42.8816717310648,1.1017672312426237,0.4863992847797911,swap
4,flowacc,10,logDoK,0,0.6138526987348187,1.0601228045978157,1.040332435761673,0.3294161136805199,swap
5,flowacc,10,DoK,0,0.35474342561183203,46.41226304656299,4.750816443544524,3.4313275018461566,swap
6,flowacc,0,logKoD,0,0.5486201091373509,0.9474662080270474,-0.932493936216224,0.306932093944182,swap
7,slope,0,KoD,0,0.020659080899251822,0.008108690139547908,0.1583231198431507,0.4047595571264706,swap
8,log10flowacc,0,KoD,0,0.05140394365193382,0.02017605008940196,0.30849871590572714,0.5977080545069205,swap
9,slope,10,logKoD,0,0.049026640549169054,0.08466894384616318,-0.0674951617367824,0.02675190851102467,swap
10,log10flowacc,10,logKoD,0,0.06512239433317496,0.11246628949404407,-0.09923513621941825,0.08005269034825843,swap
11,curvature,0,logDoK,0,0.11432006713327328,0.1974306058129609,0.1160497273953493,0.0608862859893362,swap
12,elevation,0,DoK,0,0.4266375908255016,55.81841596301213,1.8515463656663,0.7651234879632666,swap
13,elevation,0,logKoD,0,0.7341414013145748,1.2678612359887835,-0.8624448074834044,0.30692864780539586,swap
14,curvature,0,KoD,0,0.06548932834209621,0.02570456418476983,0.5527777336241745,0.8025813327221624,swap
15,slope,0,logDoK,0,0.03720237821091498,0.06424845831573243,0.04746286787829891,0.02440934460733557,swap
16,curvature,10,logKoD,0,0.09983162525985342,0.1724090857239248,-0.12094266934715948,0.04231304259501142,swap
17,flowacc,0,KoD,0,0.8029102972230877,0.3151423261172337,4.1991303139164415,2.436438186288416,swap
18,elevation,10,KoD,0,0.30126353049710425,0.11824594864894153,1.9582871363956504,2.146860821961701,swap
19,slope,10,logDoK,0,0.04548485747893732,0.07855228913497626,0.0684651363689845,0.032260260335814514,swap
20,flowacc,10,KoD,0,1.6618419219461837,0.6522730256823952,7.678341510222854,3.275270118114382,swap
21,elevation,10,logKoD,0,0.3904837492669296,0.6743649221970051,-0.4555071574337249,0.17150778027038097,swap
22,slope,0,logKoD,0,0.04275314057291463,0.07383461762559176,-0.045388004074049804,0.029032361105431413,swap
23,slope,10,KoD,0,0.01776402020260882,0.006972378691873004,0.1403785080410095,0.3277790251699753,swap
24,log10flowacc,10,DoK,0,0.055466159216500326,7.256822215376651,0.39707480934930434,0.23802601121673822,swap
25,curvature,10,KoD,0,0.059584364462581925,0.023386865608646914,0.4376263126678989,0.49343783595143664,swap
26,elevation,10,logDoK,0,2.111383493731457,3.646356520985293,1.5546731759130314,1.6106234331565699,swap
27,elevation,0,logDoK,0,2.468217705877872,4.262608736764062,2.3800593057383876,1.4927038140703095,swap
28,log10flowacc,10,KoD,0,0.0847256857886933,0.03325483530809409,0.6379464314511367,1.15251169849576,swap
29,flowacc,0,logDoK,0,0.6350584830659275,1.0967451662900023,1.089471558194283,0.3988416578086128,swap
30,log10flowacc,0,logDoK,0,0.054639100853820385,0.09436165542195965,0.07350555242155984,0.051911616677359,swap
31,flowacc,10,logKoD,0,0.669907652991992,1.1569296369880535,-1.1252485618823582,0.3722141824245108,swap
32,slope,0,DoK,0,0.05991048319700541,7.8382879135543995,0.19218537384936082,0.08828208587532438,swap
33,curvature,10,DoK,0,0.12137248195258546,15.87956577146423,0.33474684711953134,0.12103987259219753,swap
