,data,seed,target,noise,nrmse,rmse,mean_perc_err,mean_perc_err_std,test_type
28,curvature,0,logDoK,0.0,0.19356948234612933,90.72347455414545,0.9837799234558973,0.014355775725611319,sine
29,elevation,20,KoD,0.1,0.19469033347876794,91.24880276176597,0.9925142391285952,0.004853410888022103,sine
30,elevation,30,logKoD,0.1,0.19228295596124176,90.12049653132947,0.8140697319073245,0.11768978058863606,sine
31,elevation,0,DoK,0.0,0.25110237647352257,117.68838654920653,2.100761446926207,0.4446303913183013,sine
32,elevation,20,KoD,0.0,0.19459051233428493,91.2020179021295,0.9853212524761904,0.009813604407198551,sine
33,slope,20,logDoK,0.0,0.19304061635495748,90.47560200878814,0.9488085343872299,0.028548205526354908,sine
34,slope,0,logKoD,0.1,0.19670418009582422,92.19266622672973,1.047083287654589,0.025456389361467612,sine
35,curvature,30,logDoK,0.1,0.19341198410151803,90.6496571950549,0.9756707632000322,0.009439264797029733,sine
36,slope,20,DoK,0.0,0.1622907850941673,76.06355988251882,0.5188104815248457,0.25322169680554363,sine
37,elevation,0,logKoD,0.0,0.1952844033374315,91.52723550360425,1.0002868425115183,0.003741600909016859,sine
38,curvature,0,KoD,0.0,0.1947036652922108,91.25505120766243,0.988483949702745,0.010880798033159791,sine
39,slope,0,logDoK,0.0,0.1930697828221891,90.48927194898559,0.9510487314768914,0.026625898282782327,sine
40,curvature,10,logKoD,0.0,0.19645018302815506,92.07362113642823,1.0217550907622344,0.0069620806330164845,sine
41,slope,30,logKoD,0.1,0.19670818128772322,92.19454153283188,1.0496783210167633,0.02776348439668735,sine
42,elevation,20,logDoK,0.0,0.1998990708057486,93.69006954936094,1.2866105129376337,0.1808512535311045,sine
43,elevation,10,KoD,0.0,0.1947915415109926,91.29623763747531,0.9975862877819015,0.0013371315912785544,sine
44,curvature,20,DoK,0.0,0.1573647181596461,73.75477699603614,0.5241459938780478,0.16857751742981447,sine
45,curvature,20,logKoD,0.1,0.19640221450275705,92.0511389184639,1.0283173197699305,0.010845981783520819,sine
46,slope,10,logDoK,0.0,0.1931838114144465,90.54271565283148,0.9649977864323296,0.01604950003446167,sine
47,elevation,10,logKoD,0.1,0.1956134032174054,91.68143342714757,1.0049759563828038,0.006050385915256099,sine
48,elevation,30,KoD,0.0,0.19380489652006547,90.8338100861721,0.9575869577236318,0.021742812979719837,sine
49,curvature,20,KoD,0.0,0.19470550036615428,91.2559112827228,0.9899732986216185,0.008194197205927196,sine
50,slope,30,logKoD,0.0,0.19668328411831199,92.18287255646136,1.0490396164748972,0.02732722062168335,sine
51,curvature,30,DoK,0.1,0.16105384604487774,75.48382279275077,0.7074009761976141,0.19077929003361932,sine
52,elevation,10,logKoD,0.0,0.19578441083122208,91.76158245018893,1.012672664653974,0.005193591419643688,sine
53,elevation,10,KoD,0.1,0.19479189029897565,91.29640110982292,0.9976278403305254,0.0013420108006331993,sine
54,curvature,0,logKoD,0.1,0.19650318516349632,92.09846254127504,1.0271793337535067,0.01824372645927123,sine
55,elevation,20,logKoD,0.0,0.19500025467423343,91.39405875640838,0.9539643761389048,0.035350165020761395,sine
56,curvature,20,logDoK,0.0,0.19347276159357304,90.67814280749282,0.9746779320452353,0.009656559656783473,sine
57,curvature,10,logDoK,0.1,0.19334387845075682,90.61773697085975,0.976805160546305,0.008718311599205116,sine
58,curvature,20,DoK,0.1,0.15191948381947018,71.20266716387289,0.48242455362054976,0.20789692185766526,sine
59,curvature,10,DoK,0.1,0.16457659439402628,77.13488868568504,0.6190929663883118,0.18163277075526996,sine
60,slope,10,KoD,0.1,0.19480104177604848,91.30069028695605,0.9955560515305467,0.0034827133959790023,sine
61,slope,0,logKoD,0.0,0.19664796550803784,92.16631918760561,1.0459924502273055,0.02502848495587499,sine
62,slope,20,DoK,0.1,0.16332754808009775,76.549477079965,0.536450852502123,0.25021130809664205,sine
63,slope,10,KoD,0.0,0.19479041861328916,91.29571135006684,0.9955272286544643,0.003343315441515144,sine
64,slope,30,KoD,0.1,0.19481982483050303,91.30949365793272,0.9981184736825089,0.0011245213707961356,sine
65,elevation,30,logDoK,0.0,0.19607234616319824,91.89653395931715,1.07331908596028,0.045504092944646676,sine
66,slope,20,KoD,0.0,0.1948172205869884,91.30827308319455,0.99814197534689,0.001191791003058078,sine
67,slope,20,logKoD,0.0,0.1966817687361131,92.1821623167237,1.0447038625107854,0.023599175165232068,sine
68,curvature,10,logKoD,0.1,0.19656662829504806,92.1281975039417,1.0267793664428397,0.008193565754541268,sine
69,curvature,10,KoD,0.0,0.19471866927000028,91.26208337503043,0.9884930304071666,0.01136953470800491,sine
70,elevation,10,logDoK,0.0,0.19641094187249558,92.05522932205852,1.0462802157986257,0.023757807374200395,sine
71,elevation,30,DoK,0.0,0.217955357354708,102.15281395210556,1.9713337739022283,0.5766130248190486,sine
72,slope,20,logKoD,0.1,0.1966834874734766,92.1829678663567,1.0449306587020786,0.023709200101790482,sine
73,elevation,0,logDoK,0.0,0.19660101475831904,92.1443139877374,1.0666715709289833,0.04389558446690131,sine
74,slope,20,logDoK,0.1,0.19297208207297392,90.44348089076757,0.9476129152432671,0.028430408885594356,sine
75,curvature,10,KoD,0.1,0.19475243519379434,91.27790902012178,0.9896585268719921,0.011003478615454032,sine
76,slope,10,DoK,0.1,0.16748039322326255,78.49586106625638,0.6277882514875169,0.13352053187828722,sine
77,slope,0,KoD,0.1,0.19481710578267317,91.30821927591954,0.998456539411606,0.00101528054715462,sine
78,slope,0,DoK,0.0,0.16955558343030558,79.46847546632503,0.42540824691043355,0.23812484004415446,sine
79,curvature,10,DoK,0.0,0.15581733539175707,73.02953901189422,0.6550242463318684,0.2567743301536497,sine
80,curvature,0,DoK,0.1,0.16674004727143868,78.14887064035105,0.6484110917107565,0.30024102907586614,sine
81,curvature,0,logKoD,0.0,0.19622417436319647,91.96769384295268,1.0212843423753035,0.010120572785263264,sine
82,elevation,30,logDoK,0.1,0.19672099749295802,92.20054831993183,1.0877109453043459,0.05261433078424968,sine
83,curvature,20,KoD,0.1,0.19473583277681103,91.27012768529325,0.9908325510661162,0.008083265515174406,sine
84,slope,30,DoK,0.0,0.16687629973403684,78.21273038039706,0.5034548670399687,0.21153381871178717,sine
85,curvature,30,logDoK,0.0,0.1932546145884145,90.57590017073164,0.9748921426774417,0.008306658148198448,sine
86,slope,30,KoD,0.0,0.19479952221081015,91.29997808668273,0.9977087932780502,0.0013205521516855378,sine
87,slope,10,logKoD,0.1,0.19660932270445547,92.1482078129973,1.035008990805084,0.015838896553641655,sine
88,curvature,30,logKoD,0.0,0.19628969812179994,91.99840396819714,1.0209005321545115,0.007232651451369513,sine
89,curvature,20,logDoK,0.1,0.1933692151776538,90.62961196205187,0.9710951285019453,0.012042278295923779,sine
90,curvature,30,KoD,0.1,0.1947326546751761,91.2686381507896,0.9883678357980057,0.01092443785314119,sine
91,curvature,0,logDoK,0.1,0.19332954591769377,90.61101950081809,0.976074852418319,0.01940600774096094,sine
92,slope,30,logDoK,0.1,0.19313098375309534,90.51795602165276,0.9542142514920998,0.02519959564902076,sine
93,elevation,20,logDoK,0.1,0.1980557880936954,92.8261471469441,1.1979012681606895,0.1257497283676343,sine
94,curvature,20,logKoD,0.0,0.1962922782760796,91.9996132526272,1.0238031357460209,0.008903774882733537,sine
95,slope,10,DoK,0.0,0.17403301174101102,81.5669873210395,0.7044657221924452,0.12170118490076497,sine
