,data,seed,target,noise,nrmse,rmse,mean_perc_err,mean_perc_err_std,test_type
23,elevation,20,KoD,0,0.1025806309552062,0.04026290205220152,0.1910102989297862,0.15302729314095648,
24,slope,20,logDoK,0,0.0136182614707824,0.02351871967641041,0.021136177833984336,0.018741623217775564,
25,slope,20,DoK,0,0.004989181349833317,0.6527512012269038,0.03926986684328458,0.035405195121604734,
26,elevation,0,logKoD,0,0.062406845267316685,0.10777653982339175,-0.09578696628398808,0.11296164494384592,
27,curvature,0,KoD,0,0.012338421086613127,0.00484283080600324,0.04428405802959683,0.04411993839915406,
28,slope,0,logDoK,0,0.008415283673667376,0.01453318385339281,0.012295387876150803,0.013482861527670725,
29,curvature,10,logKoD,0,0.01023922716804264,0.017683131872958904,-0.013716511655125795,0.011746409238133991,
30,log10flowacc,20,DoK,0,0.016444118022428282,2.1514386909619243,0.07887096073624733,0.07194028369890294,
31,flowacc,0,KoD,0,0.06971928900107575,0.027364823924949516,0.18051950851140605,0.1299293917408683,
32,elevation,20,logDoK,0,0.025045910094544505,0.043254253842750445,0.036136341822219475,0.04647045175936014,
33,elevation,10,KoD,0,0.12419377178561483,0.04874606075567228,0.2946079774946208,0.2551546271925274,
34,curvature,20,DoK,0,0.006158855614783307,0.8057835782752565,0.06184804588525218,0.06294728811893949,
35,slope,10,logDoK,0,0.012483812257108875,0.021559527374165752,0.014607837485463576,0.012620527772993132,
36,flowacc,10,KoD,0,0.058406401560877626,0.022924515119175294,0.12614417780779616,0.09199046752625181,
37,elevation,30,KoD,0,0.06892453222571572,0.027052881856513444,0.154380401003449,0.1718108154058096,
38,curvature,20,KoD,0,0.01921679932909678,0.007542594561366044,0.06098179543630219,0.04968488662325752,
39,slope,30,logKoD,0,0.008370318804931895,0.01445552958413493,-0.011876479346219057,0.010800395345120771,
40,flowacc,30,KoD,0,0.07267170460963637,0.028523647178013492,0.1810776375518714,0.13161858115692204,
41,elevation,10,logKoD,0,0.0828053385345692,0.143004710908441,-0.1285050971421355,0.1691278135874582,
42,elevation,20,logKoD,0,0.019021978528929784,0.03285093193961818,-0.027143631624982446,0.03201414689507891,
43,curvature,20,logDoK,0,0.007047572932862648,0.012171149200113827,0.009983274611038036,0.010235752905152305,
44,slope,0,logKoD,0,0.009358075824021131,0.016161384658970105,-0.013769103859094831,0.015567356436453527,
45,slope,10,KoD,0,0.010316408032333763,0.004049190595423203,0.05681233635457512,0.1123644303546295,
46,elevation,30,logDoK,0,0.031011762742916654,0.05355727353207457,0.04570795873695748,0.060343619408496744,
47,flowacc,20,KoD,0,0.06547459472302013,0.02569878123865017,0.19492145076741685,0.14682504689869688,
48,slope,20,KoD,0,0.008758366691648,0.0034376593023401607,0.025230415132238473,0.02113755113388169,
49,log10flowacc,20,KoD,0,0.01823988593254324,0.007159156011294205,0.07404511269542968,0.06511208108687613,
50,slope,20,logKoD,0,0.007009993762379427,0.01210625002203863,-0.009903578079161219,0.00942510469584398,
51,log10flowacc,10,DoK,0,0.01788475450022422,2.339921956146103,0.1559652921465775,0.1610129108286476,
52,curvature,10,KoD,0,0.01291236692235775,0.005068104571164088,0.06417704765375888,0.09607239007314002,
53,elevation,10,logDoK,0,0.08618902888676573,0.14884833970318997,0.1327792261760232,0.16255619991214512,
